BKDUR,BKID,BKPMIN,BPOGV,BPOGX,BPOGY,CS,CX,CY,FPOGD,FPOGID,FPOGS,FPOGV,FPOGX,FPOGY,LEYEX,LEYEY,LEYEZ,LPCX,LPCY,LPD,LPOGV,LPOGX,LPOGY,LPS,LPUPILD,LPUPILV,LPV,REYEX,REYEY,REYEZ,RPCX,RPCY,RPD,RPOGV,RPOGX,RPOGY,RPS,RPUPILD,RPUPILV,RPV
0.00000,0,21,1,0.59291,0.57264,0,0.83646,0.86204,0.08691,14874,4504.45996,1,0.60376,0.58493,-0.03094,-0.01310,0.62811,0.37212,0.56299,26.29937,1,0.59688,0.58365,0.97242,0.00519,1,1,0.03088,-0.01397,0.61280,0.63367,0.56827,27.21185,1,0.58895,0.56164,0.97242,0.00523,1,1
0.00000,0,21,1,0.60346,0.59103,0,0.83646,0.86204,0.17334,14874,4504.45996,1,0.60375,0.58415,-0.03073,-0.01294,0.61821,0.37093,0.56289,26.44232,1,0.59921,0.59009,1.02468,0.00516,1,1,0.00000,0.00000,0.00000,0.63300,0.56779,26.96947,1,0.60770,0.59198,1.01839,0.00520,0,1
0.00000,0,21,1,0.61199,0.59490,0,0.83646,0.86204,0.18018,14874,4504.45996,1,0.60404,0.58453,-0.03073,-0.01294,0.61821,0.37077,0.56291,26.46553,1,0.62000,0.59327,1.01129,0.00511,1,1,0.00000,0.00000,0.00000,0.63302,0.56769,26.89630,1,0.60398,0.59652,1.00500,0.00519,0,1
0.00000,0,21,1,0.61111,0.60520,0,0.83646,0.86204,0.18750,14874,4504.45996,1,0.60429,0.58525,-0.03035,-0.01271,0.60957,0.37075,0.56291,26.44834,1,0.62043,0.60307,0.99150,0.00512,1,1,0.00000,0.00000,0.00000,0.63299,0.56768,26.86458,1,0.60180,0.60733,0.98521,0.00521,0,1
0.00000,0,21,1,0.60389,0.60584,0,0.83646,0.86204,0.19385,14874,4504.45996,1,0.60427,0.58593,-0.03035,-0.01271,0.60957,0.37070,0.56290,26.21251,1,0.61315,0.60619,0.97881,0.00514,1,1,0.00000,0.00000,0.00000,0.63295,0.56769,26.75294,1,0.59463,0.60549,0.97881,0.00521,0,1
0.00000,0,21,1,0.60178,0.60883,0,0.83646,0.86204,0.20117,14874,4504.45996,1,0.60419,0.58667,-0.03035,-0.01271,0.60957,0.37063,0.56281,26.37053,1,0.60961,0.60731,0.97242,0.00514,1,1,0.00000,0.00000,0.00000,0.63285,0.56765,26.67809,1,0.59395,0.61036,0.97242,0.00517,0,1
0.00000,0,21,1,0.60156,0.61220,0,0.83646,0.86204,0.20752,14874,4504.45996,1,0.60411,0.58747,-0.03037,-0.01267,0.61008,0.37059,0.56284,26.26446,1,0.60983,0.61051,0.96602,0.00512,1,1,0.00000,0.00000,0.00000,0.63284,0.56765,26.63373,1,0.59329,0.61388,0.96602,0.00517,0,1
0.00000,0,21,1,0.59821,0.60557,0,0.83646,0.86204,0.21436,14874,4504.45996,1,0.60393,0.58802,-0.03037,-0.01267,0.61008,0.37053,0.56284,26.19555,1,0.60969,0.60789,0.96602,0.00514,1,1,0.00000,0.00000,0.00000,0.63280,0.56761,26.61255,1,0.58673,0.60324,0.96602,0.00516,0,1
0.00000,0,21,1,0.60111,0.60305,0,0.83646,0.86204,0.22070,14874,4504.45996,1,0.60385,0.58846,-0.03037,-0.01267,0.61008,0.37050,0.56275,26.02520,1,0.59857,0.61282,0.96602,0.00511,1,1,0.00000,0.00000,0.00000,0.63279,0.56759,26.62495,1,0.60364,0.59328,0.96602,0.00514,0,1
0.00000,0,21,1,0.60209,0.59585,0,0.83646,0.86204,0.22754,14874,4504.45996,1,0.60380,0.58867,-0.03093,-0.01289,0.62033,0.37046,0.56281,26.12841,1,0.59828,0.60963,0.97242,0.00508,1,1,0.03139,-0.01414,0.62866,0.63283,0.56759,26.43641,1,0.60590,0.58206,0.98569,0.00516,1,1
0.00000,0,21,1,0.61315,0.58173,0,0.83646,0.86204,0.23438,14874,4504.45996,1,0.60406,0.58848,-0.03093,-0.01289,0.62033,0.37042,0.56283,26.12206,1,0.61901,0.59985,0.99209,0.00509,1,1,0.03139,-0.01414,0.62866,0.63270,0.56754,26.40693,1,0.60730,0.56360,1.00536,0.00510,1,1
0.00000,0,21,1,0.60933,0.57622,0,0.83646,0.86204,0.24121,14874,4504.45996,1,0.60420,0.58815,-0.03093,-0.01289,0.62033,0.37037,0.56286,26.12511,1,0.61199,0.59177,1.01175,0.00511,1,1,0.03139,-0.01414,0.62866,0.63280,0.56728,25.46079,1,0.60666,0.56066,1.02502,0.00517,1,1
0.00000,0,21,1,0.61014,0.56574,0,0.83646,0.86204,0.24756,14874,4504.45996,1,0.60436,0.58756,-0.03137,-0.01308,0.62718,0.37037,0.56280,26.09944,1,0.61141,0.58200,1.03142,0.00510,1,1,0.03139,-0.01414,0.62866,0.63279,0.56728,25.52493,1,0.60886,0.54949,1.04469,0.00513,1,1
0.00000,0,21,1,0.61105,0.55659,0,0.83646,0.86204,0.25439,14874,4504.45996,1,0.60453,0.58676,-0.03137,-0.01308,0.62718,0.37014,0.56270,26.02523,1,0.59778,0.56586,1.04469,0.00508,1,1,0.03139,-0.01414,0.62866,0.63276,0.56716,25.40061,1,0.62432,0.54732,1.04469,0.00515,1,1
0.00000,0,21,1,0.60455,0.54671,0,0.83646,0.86204,0.26074,14874,4504.45996,1,0.60453,0.58576,-0.03137,-0.01308,0.62718,0.37008,0.56283,25.79213,1,0.59045,0.56182,1.04469,0.00508,1,1,0.03139,-0.01414,0.62866,0.63244,0.56740,26.25167,1,0.61864,0.53161,1.04469,0.00511,1,1
0.00000,0,21,1,0.60351,0.55408,0,0.83646,0.86204,0.26758,14874,4504.45996,1,0.60450,0.58499,0.00000,0.00000,0.00000,0.37004,0.56281,25.80478,1,0.59078,0.56509,1.03830,0.00506,0,1,0.03037,-0.01373,0.61008,0.63257,0.56715,25.48440,1,0.61623,0.54308,1.02502,0.00512,1,1
0.00000,0,21,1,0.60128,0.57418,0,0.83646,0.86204,0.27441,14874,4504.45996,1,0.60443,0.58473,0.00000,0.00000,0.00000,0.36995,0.56277,25.86246,1,0.60642,0.59056,1.01863,0.00507,0,1,0.03037,-0.01373,0.61008,0.63248,0.56701,25.20094,1,0.59615,0.55779,1.00536,0.00511,1,1
0.00000,0,21,1,0.59174,0.57606,0,0.83646,0.86204,0.28223,14874,4504.45996,1,0.60413,0.58453,0.00000,0.00000,0.00000,0.36982,0.56276,25.87232,1,0.59805,0.59421,0.99896,0.00504,0,1,0.03037,-0.01373,0.61008,0.63236,0.56707,25.41019,1,0.58543,0.55790,0.98569,0.00507,1,1
0.00000,0,21,1,0.59171,0.58146,0,0.83646,0.86204,0.28809,14874,4504.45996,1,0.60385,0.58446,-0.03172,-0.01314,0.63243,0.36973,0.56276,25.84502,1,0.59865,0.60087,0.98569,0.00507,1,1,0.03073,-0.01391,0.61821,0.63233,0.56709,25.49618,1,0.58478,0.56206,0.97870,0.00506,1,1
0.00000,0,21,1,0.60960,0.57404,0,0.83646,0.86204,0.29492,14874,4504.45996,1,0.60398,0.58423,-0.03172,-0.01314,0.63243,0.36957,0.56272,25.93468,1,0.61351,0.59578,0.98510,0.00502,1,1,0.03073,-0.01391,0.61821,0.63205,0.56700,25.56234,1,0.60570,0.55230,0.99139,0.00511,1,1
